Sigle;Kurztitel;Kurzautor;Jahr;Autor;Titel;Titelzusatz;Publikationsinfos;Bemerkungen
Justinus2a;;Justinus;1822;Justinus;Justinus des Märtyrers eines christlichen Philosophen aus dem Anfang des zweyten Jahrhunderts Gespräch von der Wahrheit und Göttlichkeit der christlichen Religion, mit dem Juden Tryphon. Aus dem Griechischen übersetzt und mit einer Vorrede nebst dem Leben Justins begleitet von N. Brunn.;;Basel 1822;
Justinus2b;;Justinus;1884;Justinus;Tou en hagiois patros h?m?n Ioustinou philosophou kai martyros ta heuriskomena panta, S.P.N. Justini philosophi et martyris Opera  quae exstant omnia, accurante et recognoscente  J.-P. Migne., Series graeca.;;Paris 1884;
Justinus3;;Justinus;1710;Justinus;Apologia ad Antoninum, in: Justini philosophi et martyris opera quae exstant omnia, ed. Dom Maran.;;Paris 1710;Ausgabe nicht gefunden
Justinus5;;Justinus;1777;Justinus;Dialogus de Tryphone, in: Opera quae feruntur omnia. Ed. Jo. Car. Th. Eques de Otto.;;Würzburg 1777;P, aber problematisch--entweder anderes Datum oder anderer Hrsg.
Justinus6;;Justinus;1913;Justinus;Erste Apologie (an den Kaiser Antonius Pius), Deutsche Übersetzung von G. Rauschen, in: Bibliothek der Kirchenväter, Band 12, S. 65--138.;;Kempten, Kösel 1913;P
Kaiser1;;Kaiser;1813;Kaiser, Gottlieb Philipp Christian;Die biblische Theologie oder Judaismus und Christianismus: nach der grammatisch-historischen Interpretationsmethode, und nach einer freymüthigen Stellungen in die kritisch-vergleichende Universalgeschichte der Religionen, und in die universale Religion, Theil 1, oder theoretischer Theil.;;Erlangen 1813;
Kaiser1a;Biblische Theologie 1: Der Cultus;Kaiser;1814;Kaiser, Gottlieb Philipp Christian;Die biblische Theologie, oder Judaismus und Christianismus: nach der grammatisch-historischen Interpretationsmethode, und nach einer freymüthigen Stellungen die kritischvergleichende Universalgeschichte der Religionen, und in die universale Religion, Theil 2, oder praktischer Theil 1. Der Cultus.;;Erlangen 1814;
Kaiser1b;Biblische Theologie 2: Die Moral;Kaiser;1821;Kaiser, Gottlieb Philipp Christian;Die biblische Theologie, oder Judaismus und Christianismus: nach der grammatisch-historischen Interpretationsmethode, und nach einer freymüthigen Stellungen die kritischvergleichende Universalgeschichte der Religionen, und in die universale Religion, Teil 2 , oder praktischer Theil. 2. Moral.;;Erlangen 1821;
Kant1;Prolegomena;Kant;1783;Kant, Immanuel;Prolegomena zu einer jeden künftigen Metaphysik, die als Wissenschaft wird auftreten können.;;Riga 1783;
Kant2;KrV 4;Kant;1794;Kant, Immanuel;Critik der reinen Vernunft, 4. Aufl;;Riga 1794;P
Kant2a;KrV 2;Kant;1787;Kant, Immanuel;Critik der reinen Vernunft. 2. Aufl.;;Riga 1787;
Kant3;;Kant;1800;Kant, Immanuel;Immanuel Kants Logik, ein Handbuch zu Vorlesungen.;;Königsberg 1800;
Kant4;;Kant;1794;Kant, Immanuel;Die Religion innerhalb der Grenzen der bloßen Vernunft, 2. Aufl.;;Königsberg 1794;P
Kant5;KU;Kant;1799;Kant, Immanuel;Critik der Urteilskraft, 3. Aufl.;;Berlin 1799;P
Kant6;Über den Gebrauch teleologischer;Kant;1788;Kant, Immanuel;Über den Gebrauch teleologischer Prinzipien in der Philosophie. Teutscher Merkur.;;Weimar 1788;nicht gefunden
Kleuker1;Neue Prüfung und Erklärung;Kleuker;1787-1794;Kleuker, Johann Friedrich;Neue Prüfung und Erklärung der vorzüglichsten Beweise für die Wahrheit und den göttlichen Ursprung des Christenthums, wie der Offenbarung überhaupt : Aus Veranlassung neuerer Schriften, und besonders des Hierokles (Halle 1785.) Für diejenigen, welche gründliche Einsicht und Ueberzeugung lieben, ohne oft zu wissen, woran sie sich bey gewissen Dingen halten sollen, 3 Teile.;;Riga 1787--1794;P
Kluepfel1;Institutiones theologiae;Klüpfel;1821;Klüpfel, Johann Andreas;Institutiones theologiae dogmaticae in usum auditorium, Partis I. Tom. I., Hrsg. G. T. Ziegler.;;Viennae 1821;
Koeppen1;Die Bibel, 2. Aufl.;Koeppen, D.;1797;Koeppen, Daniel Joachim  ;Die Bibel, ein Werk der göttlichen Weisheit;;2. Aufl., Rostock 1797;
Koeppen1a;Die Bibel, 3. Aufl.;Koeppen, D.;1837;Koeppen, Daniel Joachim;Die Bibel, ein Werk der göttlichen Weisheit;;3. Aufl., Leipzig 1837;
Koeppen2;Philosophie des Christentums;Koeppen, F.;1825;Koeppen, Friedrich;Philosophie des Christenthums;;2. Aufl, Leipzig 1825;
KrakauerKatechismus1;Krakauer Katechismus;;;;Krakauer Katechismus (unbekannte Ausgabe der Sozinianer).;;;
Kroll1;Philosophisch-kritischer Entwurf;Kroll;1799;Kroll, Johann Gottfried August;Philosophisch-kritischer Entwurf der Versöhnungslehre, Hg. Johann Heinrich Tieftrunk.;;Halle 1799;P
Lactantius1;Divinarum institutionum;Laktanz;1698;Lactantius, Firmianus Lucius Caecilius;Divinarum institutionum libri septem;;, in: Opera Omnia, Quae Exstant, Leipzig 1698;P
Lactantius1z;De vero cultu;Laktanz;1715;Lactantius, Firmianus Lucius Caecilius;Divinarum institutionum libri sextus: De vero cultu. ;Lucii Coelii sive Caecilii Lactantii Firmiani Opera omnia, quae supersunt, Ed. Johann Georg Walch.;Lipsiae 1715;
Lactantius1a;;Laktanz;1844;Lactantius, Firmianus Lucius Caecilius;Divinarum institutionum libri septem.;= PL 7;Paris 1844;
Lactantius1az;;Laktanz;1698;Lactantius, Firmianus Lucius Caecilius;Lucii Coelii siue Caecilii Lactantii Firmiani Opera omnia, quae extant, Christophorus Cellarius recensuit et adnotationibus illustrauit.;;Leipzig 1698;P
Lambert1;Anlage zur Architectonic;Lambert;1771;Lambert, Johann Heinrich;Anlage zur Architectonic, oder Theorie des Ersten und Einfachen in der philosophischen und mathematischen Erkenntniß;Hg. Johann Friedrich Hartknoch;Riga 1771;
LaMettrie1;L'homme machine;LaMettrie;1751;LaMettrie, Julien Offray De;L'homme machine (1748), in: Oeuvres philosophiques.;;London [recte: Berlin] 1751;
LaMettrie2;L'homme plante;LaMettrie;1774;LaMettrie, Julien Offray De;L'homme plante, in:  Oeuvres philosophiques, Tome 1-2.;;Berlin 1774;
LamindusPritanius;De ingoniourum moderatione;Lamindus;1716;Lamindus Pritanius;Lamindi Pritanii de ingoniorum moderatione in Religionis negotio libiri tres,; ubi quae jura, quae fraena futura sint homini Christiano in inquirenda et tradenda Veritate, ostenditur [\ldots], censura Joannis Phereponi.;Fracofurti 1716;nicht gefunden
Lardner1;The Credibility of the Gospel;Lardner;1727--1744;Lardner, Nathaniel;The Credibility of the Gospel History ;or, The facts occasionally mention'd in the New Testament, confirmed by passages of ancient authors who were contemporary with our Saviour or his Apostles, or lived near their time;5 Bde., London 1727--1744;
Lardner1a;Glaubwürdigkeit;Lardner;1749;Lardner, Nathaniel;Glaubwürdigkeit der evangelischen Geschichte dargethan durch die im Neuen Testament gemachten Begebenheiten. ;Aus dem Englischen von Johann David Heilmann.;5 Bde., Berlin 1749;Ausgabe nicht gefunden
Lardner1b;The Credibility of the Gospel;Lardner;1722;Lardner, Nathaniel;The credibility of the Gospel History;;2 Bde., London 1722;Ausgabe nicht gefunden, möglicherweise falsche Jahreszahl
Lardner2;Vertheidigung;Lardner;1751;Lardner, Nathaniel;Vertheidigung der Wahrheit und Götlichkeit dreyer Wunder unsers hochgelobten Erlösers, .aus dem Englischen von J. H. Meyenberg.;;Zelle 1751;
Lardner3;Beweis von der Wahrheit;Lardner;1836;Lardner, Nathaniel;Beweis von der Wahrheit der christlichen Religion, aus den Umständen der Juden.;;Quedlinburg 1836;Ausgabe nicht gefunden weil  Publikationsinfos wahrscheinlich falsch, vllt. Halle 1754?
LeoI1;Sermones;Leo I.;1927;Leo I., Papst;Sermones, Deutsche Übersetzung von Theodor Steeger, in: Bibliothek der Kirchenväter, Bd 54--55: Des heiligen Papstes und Kirchenlehrers Leo des Grossen sämtliche Sermonen.;;München 1927;P: Christian Friedrich Rößler, Bibliothek der Kirchen-Väter in Übersetzungen und Auszügen (Leipzig 1786)
Less1;Über die Religion;Less;1785;Less, Gottfried;Ueber die Religion : Ihre Geschichte, Wahl, und Bestätigun, 2. Band: Beweis der Wahrheit der christlichen Religion.;;Göttingen 1785;
Less2;Über die Religion;Less;1786;Less, Gottfried;Ueber die Religion: ihre Geschichte, Wahl und Bestätigung in drei Theilen, 2. Aufl.;;Göttingen 1786;P
Lessing1;Gesammelte Werke;Lessing;1956;Lessing, Gotthold Ephraim;Gesammelte Werke, Band 8: Philosophische und theologische Schriften II, Hrsg. Paul Rilla.;;Berlin 1956;
Lessing1a;Nötige Antwort;Lessing;1778;Lessing, Gotthold Ephraim;Nötige Antwort auf eine sehr unnötige Frage des Herrn Hauptpastor Göze in Hamburg.;;Hamburg 1778;
Lessing1b;Über die von der Kirche angenommene Meinung;Lessing;1788;Lessing, Gotthold Ephraim;Über die von der Kirche angenommene Meinung, dass es besser sei, wenn die Bibel von dem gemeinen Manne in seiner Sprache nicht gelesen würde. ;Gegen Herrn Hauptpastor Goeze zu Hamburg.;1788;nicht gefunden
Lessing1c;Theologischer Nachlaß;Lessing;1956;Lessing, Gotthold Ephraim;Theologischer Nachlaß [1784];, in: Gesammelte Werke, Hrsg. von Paul Rilla.;Berlin 1956;
Lessing1d;Nathan der Weise;Lessing;1956;Lessing, Gotthold Ephraim;Nathan der Weise [1779];, in: Gesammelte Werke, Hrsg. von Paul Rilla.;Berlin 1956;
Lessing2;Die Erziehung des Menschengeschlechts;Lessing;1785;Lessing, Gotthold Ephraim;Die Erziehung des Menschengeschlechts.;;Berlin 1785;P
Lilienthal1;Die gute Sache;Lilienthal;1750-1782;Lilienthal, Theodor Christoph;Die gute Sache der in der heiligen Schrift Alten und Neuen Testaments enthaltenen göttlichen Offenbarungen wider die Feinde derselben erwiesen und gerettet;;16 Bde., Königsberg 1750--1782;P
Link1;Natur und Philosophie;Link;1811;Link, Heinrich Friedrich;Natur und Philosphie.;;Leipzig 1811;
Lossius1;Gumal und Lina;Lossius;1795;Lossius, Kaspar Friedrich;Gumal und Lina. ;Eine Geschichte für Kinder, zum Unterricht und Vergnügen, besonders um ihnen die ersten Religionsbegriffe beizubringen.;Gotha 1795;
Lukianos1;Dialogi deorum;Lukian von Samosata;;Lukian von Samosata;Dialogi deorum.;;;
Lukianos2;De Syria dea;Lukian von Samosata;;Lukian von Samosata;De Syria dea.;;;
Lukianos3;Alexander;Lukian von Samosata;;Lukian von Samosata;Alexander.;;;
Lukianos4;De morte Peregrini;Lukian von Samosata;;Lukian von Samosata;De morte Peregrini.;;;
Lukianos5;Verae historiae;Lukian von Samosata;;Lukian von Samosata;Verae historiae.;;;
Lukianos6;Hominumque deum;Lukian von Samosata;;Lukian von Samosata;Hominumque deum que irrisor.;;;
Lyttleton1;Observations;Lyttelton;1747;Lyttelton, George;Observations on the Conversation and Apostelship of St. Paul in a Letter to Gilbert West.;;London 1747;
Maczek1;Beweise vom Dasein Gottes;Maczek;;Maczek, Johann;Beweise vom Dasein Gottes aus Gründen der theoretischen Vernunft.;[unbekannte Ausgabe];;
Mark1;Über die Vernunftwidrigkeit;Mark;1792;Mark, Philipp;Über die Vernunftwidrigkeit einiger Lehren des gewöhnlichen Kirchensystems.;;Halle 1792;
Mayr1;Verteidigung;Mayr;1787--1790;Mayr, Beda;Verteidigung der natürlichen, christlichen und katholischen Religion. Nach den Bedürfnissen unserer Zeit, 4 Bände.;;Augsburg 1787--1790;P
Melanchthon1;Loci theologici;Melanchton;1834--1860;Melanchton, Philipp;Loci theologici, in: Opera Quae supersunt omnia, hrsg. Von K. G. Brettschneider und E. Bindseil, 28 Bände.;;Halis Saxonum, Brunsvigae 1834--1860;
Melanchthon2;Corpus doctrinae christianae;Melanchton;1834--1860;Melanchton, Philipp;Corpus doctrinae christianae, in: Opera Quae supersunt omnia, hrsg. Von K. G. Brettschneider und E. Bindseil, 28 Bände.;;Halis Saxonum, Brunsvigae 1834--1860;
Mendelssohn1;Jerusalem;Mendelssohn;1791;Mendelssohn, Moses;Jerusalem oder über religiöse Macht und Judentum.;;Frankfurt, Leipzig 1791;P
Muenter1;Bekehrungsgeschichte;Muenter;1773;Muenter, Balthasar;Bekehrungsgeschichte der vormaligen beyden Grafen Johann Friedrich Struensee und Enewold Brandt;, Hg. J. Hee. ;3. Aufl., Kopenhagen 1773;P
Muenter2;Unterhaltungen;Muenter;1775-1776;Muenter, Balthasar;Unterhaltungen eines nachdenkenden Christen mit sich selbst über die Wahrheit und Göttlichkeit seines Glaubens aus innern Gründen;, Hg. P. C. Reuss;2 Bde., Hamburg 1775--1776;
Mutschelle1;Unterredungen;Mutschelle;1796;Mutschelle, Sebastian;Unterredungen eines Vaters mit seinen Söhnen über die ersten Grundwahrheiten der christlichen Religion;Den Kleinen und ihren Lehrern gewidmet.;München 1796;
Mutschelle1b;Unterredungen, 4. Aufl.;Mutschelle;1802;Mutschelle, Sebastian;Unterredungen eines Vaters mit seinen Söhnen über die ersten Grundwahrheiten der christlichen Religion;Den Kleinen und ihren Lehrern gewidmet.;4. Aufl., München 1802;
Muzel1;Ueber den Glauben;Muzel;1815;Muzel, Philipp Ludwig;Ueber den Glauben an die im neuen Testamente erzählten Wunder.;;Elberfeld 1815;P
Niemayer;Lehrbuch;Niemeyer;1801;Niemeyer, August Hermann;Lehrbuch für die oberen Religionsklassen in Gelehrtenschulen.;;Halle 1801;
Nitzsch1;De revelatione religionis;Nitzsch;1808;Nitzsch, Carl Ludwig;De revelatione religionis externa eademque publica prolusiones academicae.;;Lipsiae 1808;P
Nitzsch2;De christianorum tribuendis miraculis;Nitzsch;;Nitzsch, Carl Ludwig;Dissertatio quarta de christianorum tribuendis miraculis.;;;
Noesselt1;Vertheidigung;Nösselt;1769;Nösselt, Johann August;Vertheidigung der Wahrheit und Göttlichkeit der christlichen Religion.;;Halle 1769;P
Nonnotte1;Dictionnaire de la religion;Nonnotte;1772;Nonnotte, Claude-François;Dictionnaire de la religion où l'on établit tous les points de la religion, attaqués par le incrédules, \& où l'on répond à toutes leurs objections, 4 Bände.;;Avignon 1772;
Origenes1;Contra Celsum;Origenes;1605;Origenes;Origenis Contra Celsum Libri VIII. Et Gregorii Neocaesar. Thaumaturgi Panegyricus in Origenem: Accessere notae \& indices, Hrsg. von David Hoeschel.;;Augustae Vindelicorum 1605;
Origenes1a;Contra Celsum;Origenes;1857;Origenes;Contra Celsum libri octo, in: ?rigenous ta heuriskomena panta, ex variis editionibus et codicibus manu exaratis \ldots\ opera et studio Caroli et Caroli Vincentii Delarue, accurante et denuo recognoscente J.-P. Migne = Origenis opera omnia, tomus XI--XVII.;;Paris 1857;
Origenes1b;Gegen Celsus;Origenes;1745;Origenes;Acht Bücher von der Wahrheit der christlichen Religion wider den Weltweisen Celsus. Aus dem Griechischen übersetzt von und hrsg. von J. L. Von Mosheim.;;Hamburg 1745;P
Origenes2;Opera omnia;Origenes;1743;Origenes;Origenis Opera omnia et quae ejus nomine circumferuntur Latine versa et ex variis editionibus \& codicibus manu exaratis Gallicis Italicis Germanicis \& Anglicis collecta, recensita, atque annotationibus illustrata, cum copiosis indicibus, vita auctoris, \& multis dissertationibus. Ex recentissima editione Parisiensi domni Caroli Delarue presbyteri \& monachi Benedictini e Congregatione s. Mauri, Tomus primus.;;Venetiis 1743;
Origenes2a;De principiis;Origenes;;Origenes;AUSGABE NOCH OFFEN;;;
Origenes3;13 Homilien;Origenes;;Origenes;13. Homil. Über 2 Mos.;;;
Origenes4;Homil. 3 in Levit.;Origenes;1733-1759;Origenes;Homil. 3. in Levit., In: Origenous ta Heuriskomena panta. Origenis Opera omnia quae Graece vel Latine tantum exstant et eius nomine circumferuntur, ex variis editionibus, \& codicibus manu exaratis, Gallicanis, Italicis, Germanicis \& Anglicis collecta, recensita,latine versa, atque annotationibus illustrata, cum copiosis indicibus, vita auctoris, \& multis dissertationibus. Opera \& studio domni Caroli Delarue, 4 Bände.;;Paris 1733--1759;Ausgabe unproblematisch, aber Titel (Homil. 3\ldots) nicht gefunden
Origenes4z;Homil. 3 in Levit.;Origenes;1831-1848;Origenes;Homil. 3. in Levit., In: Opera omnia quae Graece vel Latine tantum exstant et ejus nomine circumferuntur,  ex variis editionibus recensita atque annotationibus illustrata, cum vita auctoris, et multis dissertationibus , ed. Carolus et Carol. Vincent. Delarue , denuo recensuit emendavit castigavit C. H. E. Lommatzsch, 25 Bände.;;Berlin 1831--1848;Ausgabe unproblematisch, aber Titel (Homil. 3\ldots) nicht gefunden
Orosius1;Apologia;Orosius;1881;Orosius, Paulus;Apologia pro libertate arbitrii, in: Liber apologeticus, in: Corpus scriptorum ecclesiasticorum latinorum, Tomus 5.;;Wien 1881;nicht gefunden
Ovidius1;Amores;Ovidius ;1758;Ovidius Naso, Publius;Amores, in: P. Ovidii Nasonis Opera Omnia e recensione Nic. Heinsii.;;Lipsiae 1758;
Ovidius2;Fastorum;Ovidius ;1826;Ovidius Naso, Publius;P. Ovidii Nasonis fastorum libri sex in usum Scholarum, ad optimorum librorum fidem recensuit, lectionis diversitatem et alias observationes adiecit Johannes Philippus Krebsius.;;Wiesbadae 1826;
Paalzow1;Hirokles;Paalzow;1785;Paalzow, Christian Ludwig;Hierokles oder Prüfung und Vertheidigung der christlichen Religion, angestellt von den Herren Michaelis, Semler, Less und Freret.;;Halle 1785;
Pavrizek1;Religion der Unmündigen;Pa\v{r}ízek, Seiler;1780;Pa\v{r}ízek, Ale\v{s} Vincenc, Seiler, Georg Friedrich;Religion der Unmündigen, zum gemeinnützigen Gebrauche katholischer Eltern und Lehrer.;;Prag 1780;
Petavius1;De angelis;Petavius;1683;Petavius, Dionysius;De angelis [?], in: Opus de theologicis dogmatibus, 4 Bände.;;Antwerpen 1683;Ausgabe nicht gefunden, möglicherweise falsche Jahreszahl
Peutinger1;Religion, Offenbarung und Kirche;Peutinger;1795;Peutinger, Ulrich;Religion, Offenbarung und Kirche in der reinen Vernunft aufgesucht.;;Salzburg 1795;P
Pfronger1;Über den Begriff der Selbstbeurteilung;Pfronger;;Pfronger, Chrysostomus Laurentius;Über den Begriff der Selbstbeurteilung.;[unbekannte Ausgabe];;
Pfronger2;Über die menschliche Bildung;Pfronger;;Pfronger, Chrysostomus Laurentius;Über die menschliche Bildung und ihr Verhältnis zur letzten Bestimmung;[unbekannte Ausgabe];;
Philon1;;Philo von Alexandrien;;Philo von Alexandrien;In Flaccum.;;;
Philon2;;Philo von Alexandrien;;Philo von Alexandrien;Legatio ad Gaium.;;;
Pichler1;;Pichler;1808;Pichler, Karoline;Agathokles, 3 Theile.;;Wien 1808;
Platner1;;Platner;1782;Platner, Ernst;Philosophische Aphorismen, 2 Bände.;;Leipzig 1782;
Platner1a;;Platner;1784;Platner, Ernst;Philosophische Aphorismen, 2 Bände, neue, durchaus umgearb. Ausg.;;Leipzig 1784;
Platon1;Apologia;Platon;;Platon;Apologia, in: Platon's Werke von Friedrich Schleiermacher, 1. Theil, 2. Band.;;Berlin 1805;
Platon2;Symposion;Platon;;Platon;Symposion.;;;
Platon3;;Platon;1781-1787;Platon;Frühe Dialoge, in: Platonis Philosophi Quae Exstant , Graece Ad Editionem Henrici Stephani Accurate Expressa, Cum Marsilii Ficini Interpretatione, Accedit Varietas Lectionis Studiis Societatis Bipontinae, 1--11.;;Biponti 1781--1787;P
Platon3a;Paedon;Platon;1781-1787;Platon;Phaedon, in: Platonis Philosophi Quae Exstant , Graece Ad Editionem Henrici Stephani Accurate Expressa, Cum Marsilii Ficini Interpretatione, Accedit Varietas Lectionis Studiis Societatis Bipontinae, 1--11.;;Biponti 1781--1787;P
Platon4;Alcibiades II;Platon;;Platon;Alcibiades II.;;;
Platon5;Epinomis;Platon;;Platon;Epinomis.;;;
Platon6;Paedrus;Platon;;Platon;Phaedrus.;;;
Platon7;Res publica;Platon;;Platon;Res publica.;;;
Platon8;Timaeus;Platon;;Platon;Timaeus.;;;
Platon9;Gorgias;Platon;;Platon;Gorgias.;;;
Platon10;;Platon;;Platon;Philocal[os] de al[l]eg.[atis] Leg.[ibus].;;;unklarer Titel
Plinius1;Epistularum libri;Plinius Secundus;;Plinius Caecilius Secundus, Gaius;Epistularum libri.;;;
Plinius1a;Briefe;Plinius Secundus;1531;Plinius Caecilius Secundus, Gaius;Briefe, in: Caius Plinii Secundi Novocomensis Epistolarum libri X, Panegyricus Traiano Caesari dictus: De viris illustribus in re militari et in administranda repub,Suetonii Tranquilli liber de claris Grammaticis et Rhetoribus, Julii Obsequentis Prodigiorum liber.;;Leiden 1531;P
Polykarp1;;Polykarp;;Polykarp;;;;siehe Ignatius von Antiochien [Polykarps Briefe werden immer gemeinsam mit den Briefen des Ignatius von Antiochien herausgegeben.].
Porphyrios1;;Porphyrios;;Porphyrios, Malchus-Tyrius;xxxxx xxxxxxxx xxxxx xx;;;
Pythagoras1;Pythegoreorum aurem carmen;Pythagoras;1776;Pythagoras;Pythagoreorum aureum carmen, Sententiosa vetustissimorum gnomicorum quorundam poetarum opera, Edidit Eberhard Gottlob Glandorf, Tom. I.;;Lipsiae 1776;
Pythagoras1a;Die goldenen Sprüche;Pythagoras;1775;Pythagoras;Die goldenen Sprüche des Pythagoras: (Zum Vorlesen in Schulen). Übersetzt von Johann Wilhelm Ludwig Gleim.;;Halberstadt 1775;
Reinhold1;Briefe;Reinhold;1790;Reinhold, Carl Leonhard;Briefe über die kantische Philosophie.;;Leipzig 1790;
Reimarus1;Apologie;Reimarus;;Reimarus, Hermann Samuel;Apologie oder Schutzschrift für die vernünftigen Verehrer Gottes.;;;
RoemischesBrevier;Römisches Brevier;Katholische Kirche;1568;Katholische Kirche;Römisches Brevier.;;1658;
Rosenmueller1;Prüfung;Rosenmüller;1776;Rosenmüller, Johann Georg;Prüfung der vornehmsten Gründe für und wider die Religion Prüfung zum Gebrauch für denkende Leser.;;Erlangen 1776;P
Rousseau1;Émil, ou De l'Éducation;Rousseau;1786;Rousseau, Jean Jacques;Émil, ou De l'Éducation, 2 tom.;;Geneve 1786;Ausgabe nicht gefunden
Rousseau1a;Emil oder über die Erziehung;Rousseau;1762-1780;Rousseau, Jean Jacques;Emil oder über die Erziehung, aus dem Französischen von C. F. Cramer, mit erläuternden, bestimmenden und berichtigenden Anmerkungen der Gesellschaft der Revisoren, aus dem Revisionswerke besonders abgedruckt und herausgegeben von Joachim Heinrich Campe, 4 Theile.;;Braunschweig 1789--1791;
Rousseau2;Lettres;Rousseau;1764;Rousseau, Jean-Jacques;Lettres écrites dc la Montagne, Première et deuxième partie.;;Amsterdam 1764;P
Rousseau3;Discours;Rousseau;1755;Rousseau, Jean-Jacques;Discours sur l'origine et les fondemens de l'inégalité parmi les hommes.;;Amsterdam 1755;
Sailer1a;Grundlehren der Religion;Sailer;1832;Sailer, Johann Michael;Grundlehren der Religion: Ein Leitfaden zu den Vorlesungen aus der Religionslehre für die akademischen Jünglinge aus allen Fakultäten.;;Sulzbach 1832;
Sailer1b;Grundlehren der Religion;Sailer;1805;Sailer, Johann Michael;Grundlehren der Religion: ein Leitfaden zu seinen Religionsvorlesungen an die akademischen Jünglinge aus allen Facultäten, unter Anleitung des Verf. hrsg. von Joseph Widmer.;;München 1805;
Sailer3;Theorie des weisen Spottes;Sailer;1781;Sailer, Johann Michael;Theorie des weisen Spottes, Neujahrsgeschenk eines Ungenannten an alle Spötter und Spötterinnen über Dreyeinigkeit,  geschrieben von einem Liebhaber seines Vaterlandes [d.i. Johann Michael Sailer] nach den dringendsten Bedürfnissen unsrer Zeit am Neujahrstage 1781.;;1781;
Salvianus1;De gubernatione Dei;Salvianus Massiliensis;1881;Salvianus Massiliensis;De gubernatione Dei (um 480), hrsg. A. Pauly.;;1881;Ausgabe nicht gefunden
Salzmann1;Moralisches Elementarbuch;Salzmann;1782;Salzmann, Christoph Gotthilf;Moralisches Elementarbuch, 2 Theile.;;Leipzig 1782;
Salzmann2;Erster Unterricht;Salzmann;1803;Salzmann, Christoph Gotthilf;Erster Unterricht in der Sittenlehre für Kinder von acht bis zehn Jahren.;;Schnepfenthal 1803;
Salzmann3;Heinrich Gottschalk;Salzmann;1804;Salzmann, Christoph Gotthilf;Heinrich Gottschalk in seiner Familie, oder erster Religionsunterricht für Kinder von 10-12 Jahren.;;Stuttgart 1804;
Salzmann4;Unterricht;Salzmann;1808;Salzmann, Christoph Gotthilf;Unterricht in der christlichen Religion.;;Schnepfenthal 1808;P
Schiller1;Die Xenien;Schiller;1835;Schiller, Johann Christoph Friedrich Von;Die Xenien von Schiller und Goethe, in: Friedrich von Schillers Sämtliche Werke mit Stahlstichen, Theil 12.;;Stuttgart-Tübigen  1835--1836;P
Schiller2;Sämmtliche Werke;Schiller;1835-1836;Schiller, Johann Christoph Friedrich Von;Friedrich von Schillers Sämmtliche Werke mit Stahlstichen, Theil 12.;;Stuttgart-Tübigen  1835--1836;P
Schiller3;Zahme Xenien;Schiller;1836;Schiller, Johann Christoph Friedrich Von;Zahme Xenien, in: Friedrich von Schillers Sämmtliche Werke, 21. Band, Anhang.;;Grätz 1836;
Schiller4;Maria Stuart;Schiller;1835-1836;Schiller, Johann Christoph Friedrich Von;Maria Stuart, in: Sämmtliche Werke mit Stahlstichen, 12 Bände.;;Stuttgart-Tübigen 1835--1836;P
Schlegel1;Neue Erwägung;Schlegel;1791;Schlegel, Gottlieb;Neue Erwägung der Lehre von der göttlichen Dreieinigkeit.;;Riga 1791-1792;
Schleiermacher1;Über die Religion;Schleiermacher;1799;Schleiermächer, Friedrich Daniel Ernst;Über die Religion. Reden an die Gebildeten unter ihren Verächtern.;;Berlin 1799;
Schmerler1;Freymüthige Betrachtungen;Schmerler;1792;Schmerler, Johann Adam;Freymüthige Betrachtungen über die dogmatischen Lehren von Wundern und Offenbarung in Briefen an einen Freund.;;Bayreuth 1792;
Schmid1;Grundriß der Moralphilosophie;Schmid;1793;Schmid, Carl Christian Erhard;Grundriß der Moralphilosophie für Vorlesungen;;Jena 1793;P
Schwarz1;Handbuch;Schwarz;1793;Schwarz, Ildephons;Handbuch der christlichen Religion.;;Bamberg, Würzburg 1793;P
Schwarz1a;Handbuch;Schwarz;1803;Schwarz, Ildephons;Handbuch der christlichen Religion, 3 Bände, vierte verbesserte und vermehrte Auflage.;;Bamberg 1803;
Schwarzhueber1;Praktisches katholisches Religionsbuch;Schwarzhueber;1786;Schwarzhueber, Simpert;Praktisches katholisches Religionsbuch für nachdenkende Christen.;;Salzburg 1786;
Seiler1;Kurze Apologie;Seiler;1776;Seiler, Georg Friedrich;Kurze Apologie des Christenthums, nebst einem Entwurf der Religion eines christlichen Philosophen.;;Erlangen 1776;
Seiler2;Der vernünftige Glaube;Seiler;1795;Seiler, Georg Friedrich;Der vernünftige Glaube an die Wahrheiten des Christenthums: Durch Gründe der Geschichte und praktischen Vernunft bestätiget.;;Erlangen 1795;
Seneca1;De providentia;Seneca;1741;Seneca, Lucius Annaeus;De providentia. ;L. Annaei Senecae philosophi Opera omnia. Tomus secundus.;Leipzig 1741;P
Seneca2;De brevitate vitae;Seneca;;Seneca, Lucius Annaeus;De brevitate vitae.;;;
Seneca3;Dialogorum;Seneca;;Seneca, Lucius Annaeus;Dialogorum libri XII.;;;
Seneca4;;Seneca;1853;Seneca, Lucius Annaeus;Opera quae supersunt. 3, L. Annaei Senecae ad Lucilium epistularum moralium libri XX., Ed. Fridericus Haase.;;Lipsiae 1853;
Seneca4a;;Seneca;1741;Seneca, Lucius Annaeus;Epistularum moralium ad Lucilium Iibri XX. L. Annaei Senecae philosophi Opera omnia. 2. tom.;;Leipzig 1741;P, aber: Reihe stimmt, aber Titel schwer zu überprüfen
